Sampling_code,Date_Time_Enumerated,Sample_Name,Test,Dilution,Plating_Replicate,Count,Photo_on_labserver_date?,Comments
1221_A,"2021_12_31, 3:10PM",DI_2,PC,10^-4,1,32,"Y, 2022_01_25",
1221_A,"2021_12_31, 3:10PM",DI_2,PC,10^-4,2,33,"Y, 2022_01_25",
1221_A,"2021_12_31, 3:10PM",DI_3,PC,10^-4,1,146,"Y, 2022_01_25",
1221_A,"2021_12_31, 3:10PM",DI_3,PC,10^-4,2,116,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_NC,APC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_NC,GN,NA,NA,0,"Y, 2022_01_25",
1221_A,"2021_12_31, 3:10PM",DI_NC,PC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_1,APC,10^-5,1,92,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_1,APC,10^-5,2,83,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_2,APC,10^-5,1,14,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_2,APC,10^-5,2,21,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_3,APC,10^-5,1,50,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_3,APC,10^-5,2,45,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_1,GN,10^-5,1,54,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_1,GN,10^-5,2,43,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_2,GN,10^-4,1,146,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_2,GN,10^-4,2,126,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_3,GN,10^-5,1,34,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_3,GN,10^-5,2,26,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_1,PC,10^-6,1,21,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_1,PC,10^-6,2,21,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_2,PC,10^-5,1,53,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_2,PC,10^-5,2,59,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_3,PC,10^-5,1,136,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_3,PC,10^-5,2,121,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_NC,APC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_12_25, 3:50PM",D7_NC,GN,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_01_02, 3:40PM",D7_NC,PC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_1,APC,10^-6,1,23,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_1,APC,10^-6,2,29,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_2,APC,10^-6,1,27,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_2,APC,10^-6,2,23,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_3,APC,10^-6,1,18,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_3,APC,10^-6,2,16,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_1,GN,10^-5,1,150,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_1,GN,10^-5,2,128,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_2,GN,10^-5,1,120,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_2,GN,10^-5,2,112,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_3,GN,10^-5,1,98,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_3,GN,10^-5,2,90,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_1,PC,10^-6,1,89,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_1,PC,10^-6,2,76,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_2,PC,10^-6,1,60,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_2,PC,10^-6,2,62,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_3,PC,10^-6,1,64,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_3,PC,10^-6,2,61,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_NC,APC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_12_30, 3:40PM",D12_NC,GN,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_12_07, 3:35PM",D12_NC,PC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_1,APC,10^-6,1,108,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_1,APC,10^-6,2,125,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_2,APC,10^-6,1,114,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_2,APC,10^-6,2,108,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_3,APC,10^-6,1,63,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_3,APC,10^-6,2,74,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_1,GN,10^-6,1,45,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_1,GN,10^-6,2,39,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_2,GN,10^-6,1,47,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_2,GN,10^-6,2,42,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_3,GN,10^-6,1,18,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_3,GN,10^-6,2,24,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_1,PC,10^-7,1,48,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_1,PC,10^-7,2,56,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_2,PC,10^-7,1,41,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_2,PC,10^-7,2,25,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_3,PC,10^-7,1,33,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_3,PC,10^-7,2,18,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_NC,APC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_01_05, 9:15AM",D17_NC,GN,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_01_12, 3:10PM",D17_NC,PC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_1,APC,10^-7,1,100,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_1,APC,10^-7,2,90,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_2,APC,10^-7,1,27,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_2,APC,10^-7,2,21,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_3,APC,10^-7,1,65,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_3,APC,10^-7,2,57,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_1,GN,10^-7,1,19,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_1,GN,10^-7,2,33,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_2,GN,10^-6,1,100,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_2,GN,10^-6,2,88,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_3,GN,10^-7,1,16,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_3,GN,10^-7,2,15,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_1,PC,10^-8,1,38,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_1,PC,10^-8,2,36,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_2,PC,10^-8,1,62,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_2,PC,10^-8,2,77,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_3,PC,10^-8,1,14,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_3,PC,10^-8,2,23,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_NC,APC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_01_09, 3:10PM",D22_NC,GN,NA,NA,0,"Y, 2022_01_25",
1221_A,"2022_1_17, 2:55PM",D22_NC,PC,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_1,APC,10^-4,1,176,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_1,APC,10^-4,2,191,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_2,APC,10^-4,1,148,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_2,APC,10^-4,2,161,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_3,APC,10^-4,1,145,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_3,APC,10^-4,2,160,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_1,GN,10^-4,1,103,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_1,GN,10^-4,2,91,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_2,GN,10^-4,1,76,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_2,GN,10^-4,2,79,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_3,GN,10^-4,1,65,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_3,GN,10^-4,2,74,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_1,PC,10^-5,1,24,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_1,PC,10^-5,2,35,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_2,PC,10^-5,1,38,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_2,PC,10^-5,2,37,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_3,PC,10^-5,1,51,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_3,PC,10^-5,2,41,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_NC,APC,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_13, 3:15PM",DI_NC,GN,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:50PM",DI_NC,PC,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_1,APC,10^-5,1,43,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_1,APC,10^-5,2,29,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_2,APC,10^-5,1,48,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_2,APC,10^-5,2,67,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_3,APC,10^-5,1,49,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_3,APC,10^-5,2,35,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_1,GN,10^-5,1,14,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_1,GN,10^-5,2,11,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_2,GN,10^-5,1,22,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_2,GN,10^-5,2,23,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_3,GN,10^-4,1,214,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_3,GN,10^-4,2,192,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_1,PC,10^-5,1,155,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_1,PC,10^-5,2,142,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_2,PC,10^-6,1,28,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_2,PC,10^-6,2,13,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_3,PC,10^-5,1,122,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_3,PC,10^-5,2,138,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_NC,APC,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_16, 4:30PM",D7_NC,GN,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_24, 4:20PM",D7_NC,PC,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_1,APC,10^-5,1,96,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_1,APC,10^-5,2,129,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_2,APC,10^-6,1,18,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_2,APC,10^-6,2,22,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_3,APC,10^-6,1,10,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_3,APC,10^-6,2,18,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_1,GN,10^-5,1,32,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_1,GN,10^-5,2,31,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_2,GN,10^-5,1,79,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_2,GN,10^-5,2,82,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_3,GN,10^-5,1,76,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_3,GN,10^-5,2,80,"Y, 2022_01_25",
0122_A,"2022_01_29, 5:30PM",D12_1,PC,10^-6,1,134,"Y, 2022_02_07",
0122_A,"2022_01_29, 5:30PM",D12_1,PC,10^-6,2,149,"Y, 2022_02_07",
0122_A,"2022_01_29, 5:30PM",D12_2,PC,10^-6,1,81,"Y, 2022_02_07",
0122_A,"2022_01_29, 5:30PM",D12_2,PC,10^-6,2,81,"Y, 2022_02_07",
0122_A,"2022_01_29, 5:30PM",D12_3,PC,10^-6,1,142,"Y, 2022_02_07",
0122_A,"2022_01_29, 5:30PM",D12_3,PC,10^-6,2,134,"Y, 2022_02_07",
0122_A,"2022_01_21, 4:45PM",D12_NC,APC,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_21, 4:45PM",D12_NC,GN,NA,NA,0,"Y, 2022_01_25",
0122_A,"2022_01_29, 5:30PM",D12_NC,PC,NA,NA,0,"Y, 2022_02_07",
0122_A,"2022_01_26, 4:30PM",D17_1,APC,10^-6,1,37,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_1,APC,10^-6,2,56,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_2,APC,10^-6,1,92,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_2,APC,10^-6,2,88,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_3,APC,10^-6,1,62,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_3,APC,10^-6,2,83,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_1,GN,10^-5,1,151,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_1,GN,10^-5,2,173,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_2,GN,10^-6,1,34,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_2,GN,10^-6,2,26,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_3,GN,10^-5,1,167,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_3,GN,10^-5,2,164,"Y, 2022_01_28",
0122_A,"2022_02_05, 4:45PM",D17_1,PC,10^-7,1,37,"Y, 2022_02_07",
0122_A,"2022_02_05, 4:45PM",D17_1,PC,10^-7,2,46,"Y, 2022_02_07",
0122_A,"2022_02_05, 4:45PM",D17_2,PC,10^-7,1,79,"Y, 2022_02_07",
0122_A,"2022_02_05, 4:45PM",D17_2,PC,10^-7,2,60,"Y, 2022_02_07",
0122_A,"2022_02_05, 4:45PM",D17_3,PC,10^-7,1,30,"Y, 2022_02_07",
0122_A,"2022_02_05, 4:45PM",D17_3,PC,10^-7,2,34,"Y, 2022_02_07",
0122_A,"2022_01_26, 4:30PM",D17_NC,APC,NA,NA,0,"Y, 2022_01_28",
0122_A,"2022_01_26, 4:30PM",D17_NC,GN,NA,NA,0,"Y, 2022_01_28",
0122_A,"2022_02_05, 4:45PM",D17_NC,PC,NA,NA,0,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_1,APC,10^-6,1,9,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_1,APC,10^-6,2,6,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_2,APC,10^-6,1,87,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_2,APC,10^-6,2,100,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_3,APC,10^-7,1,24,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_3,APC,10^-7,2,24,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_1,GN,10^-6,1,6,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_1,GN,10^-6,2,3,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_2,GN,10^-6,1,38,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_2,GN,10^-6,2,38,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_3,GN,10^-6,1,102,"Y, 2022_02_07",
0122_A,"2022_01_31, 4:20PM",D22_3,GN,10^-6,2,86,"Y, 2022_02_07",
0122_A,"2022_02_08, 5:30PM",D22_1,PC,10^-6,1,42,"Y, 2022_03_02",
0122_A,"2022_02_08, 5:30PM",D22_1,PC,10^-6,2,36,"Y, 2022_03_02",
0122_A,"2022_02_08, 5:30PM",D22_2,PC,10^-7,1,59,"Y, 2022_03_02",
0122_A,"2022_02_08, 5:30PM",D22_2,PC,10^-7,2,41,"Y, 2022_03_02",
0122_A,"2022_02_08, 5:30PM",D22_3,PC,10^-8,1,14,"Y, 2022_03_02",
0122_A,"2022_02_08, 5:30PM",D22_3,PC,10^-8,2,16,"Y, 2022_03_02",
0122_A,"2022_01_31, 4:20PM",D22_NC,APC,NA,NA,0,"Y, 2022_02_7",
0122_A,"2022_01_31, 4:20PM",D22_NC,GN,NA,NA,0,"Y, 2022_02_7",
0122_A,"2022_02_08, 5:30PM",D22_NC,PC,NA,NA,0,"Y, 2022_03_02",
0122_B,"2022_01_13, 3:20PM",H_1,APC,10^-4,1,1,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_1,APC,10^-4,2,1,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_2,APC,10^-4,1,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_2,APC,10^-4,2,1,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_3,APC,10^-4,1,1,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_3,APC,10^-4,2,2,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_1,GN,10^-4,1,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_1,GN,10^-4,2,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_2,GN,10^-4,1,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_2,GN,10^-4,2,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_3,GN,10^-4,1,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_3,GN,10^-4,2,0,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_1,PC,10^-4,1,1,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_1,PC,10^-4,2,0,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_2,PC,10^-4,1,1,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_2,PC,10^-4,2,0,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_3,PC,10^-4,1,1,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_3,PC,10^-4,2,1,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_NC,APC,NA,NA,0,"Y, 2022_01_25",
0122_B,"2022_01_13, 3:20PM",H_NC,GN,NA,NA,0,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",H_NC,PC,NA,NA,0,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_1,APC,10^-4,1,59,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_1,APC,10^-4,2,61,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_2,APC,10^-4,1,47,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_2,APC,10^-4,2,59,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_3,APC,10^-4,1,48,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_3,APC,10^-4,2,62,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_1,GN,10^-4,1,34,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_1,GN,10^-4,2,29,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_2,GN,10^-4,1,37,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_2,GN,10^-4,2,25,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_3,GN,10^-4,1,19,"Y, 2022_01_25",
0122_B,"2022_01_21, 4:45PM",DI_3,GN,10^-4,2,18,"Y, 2022_01_25",
0122_B,"2022_01_29, 5:30PM",DI_1,PC,10^-4,1,154,"Y, 2022_02_07",
0122_B,"2022_01_29, 5:30PM",DI_1,PC,10^-4,2,157,"Y, 2022_02_07",
0122_B,"2022_01_29, 5:30PM",DI_2,PC,10^-4,1,125,"Y, 2022_02_07",
0122_B,"2022_01_29, 5:30PM",DI_2,PC,10^-4,2,159,"Y, 2022_02_07",
0122_B,"2022_01_29, 5:30PM",DI_3,PC,10^-4,1,131,"Y, 2022_02_07",
0122_B,"2022_01_29, 5:30PM",DI_3,PC,10^-4,2,127,"Y, 2022_02_07",
0122_B,"2021_01_21, 4:45PM",DI_NC,APC,NA,NA,0,"Y, 2022_01_25",
0122_B,"2021_01_21, 4:45PM",DI_NC,GN,NA,NA,0,"Y, 2022_01_25",
0122_B,"2022_01_29, 5:30PM",DI_NC,PC,NA,NA,0,"Y, 2022_02_07",
0122_B,"2022_01_23, 2:30PM",D7_1,APC,10^-5,1,20,"Y, 2022_01_25",
0122_B,"2022_01_23, 2:30PM",D7_1,APC,10^-5,2,27,"Y, 2022_01_25",
0122_B,"2022_01_23, 2:30PM",D7_2,APC,10^-5,1,25,"Y, 2022_01_25",
0122_B,"2022_01_23, 2:30PM",D7_2,APC,10^-5,2,19,"Y, 2022_01_25",
0122_B,"2022_01_23, 2:30PM",D7_3,APC,10^-5,1,34,"Y, 2022_01_25",
